,rating,name,link,area_genre,price(dinner),price(lunch),holiday
0,4.24,ボニュ,https://tabelog.com/tw/tokyo/A1304/A130401/13184186/,"參宮橋車站 / 法式料理, 牛排, 蛋糕","JPY 50,000 - JPY 59,999","JPY 50,000 - JPY 59,999",-
1,4.16,おかしやうっちー,https://tabelog.com/tw/tokyo/A1309/A130901/13238644/,"北參道車站 / 蛋糕, 西式甜點",-,"JPY 5,000 - JPY 5,999",-
2,3.95,エーグルドゥース,https://tabelog.com/tw/tokyo/A1305/A130502/13005641/,"目白車站 / 蛋糕, 馬卡龍","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期一, 星期二"
3,3.94,パティスリー リョーコ,https://tabelog.com/tw/tokyo/A1316/A131603/13137010/,"高輪台車站 / 蛋糕, 泡芙, 西式甜點",-,- JPY 999,"星期一, 星期二, 星期三, 星期四"
4,3.90,アテスウェイ,https://tabelog.com/tw/tokyo/A1320/A132001/13005853/,"西荻窪車站 / 蛋糕, 甜食",- JPY 999,- JPY 999,"星期一, 星期二"
5,3.88,パティスリー・パリセヴェイユ,https://tabelog.com/tw/tokyo/A1317/A131703/13005198/,"自由丘車站 / 蛋糕, 咖啡店, 麵包","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
6,3.87,フレデリック カッセル 銀座三越店,https://tabelog.com/tw/tokyo/A1301/A130101/13116839/,"銀座車站 / 蛋糕, 甜食, 巧克力",-,"JPY 2,000 - JPY 2,999",-
7,3.87,アヴランシュ・ゲネー,https://tabelog.com/tw/tokyo/A1310/A131004/13186450/,"春日車站 / 蛋糕, 巧克力","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期一, 星期二"
8,3.87,リョウラ,https://tabelog.com/tw/tokyo/A1317/A131707/13188208/,"用賀車站 / 蛋糕, 西式甜點","JPY 3,000 - JPY 3,999",-,"星期二, 星期三"
9,3.86,オーボンヴュータン 尾山台店,https://tabelog.com/tw/tokyo/A1317/A131715/13181654/,"尾山台車站 / 蛋糕, 小菜, 咖啡店","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期二, 星期三"
10,3.86,パティスリー カーヴァンソン,https://tabelog.com/tw/tokyo/A1309/A130905/13035194/,"飯田橋車站 / 蛋糕, 巧克力, 西式甜點","JPY 10,000 - JPY 14,999",-,-
11,3.85,VIRON 丸の内店,https://tabelog.com/tw/tokyo/A1302/A130201/13043904/,"東京車站 / 麵包, 蛋糕, 咖啡店","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
12,3.85,アステリスク,https://tabelog.com/tw/tokyo/A1318/A131811/13140735/,代代木上原車站 / 蛋糕,- JPY 999,- JPY 999,"星期一, 星期二"
13,3.85,GAZTA,https://tabelog.com/tw/tokyo/A1316/A131602/13223261/,白金高輪車站 / 蛋糕,-,"JPY 1,000 - JPY 1,999",星期一
14,3.85,LESS by Gabriele Riva & Kanako Sakakura,https://tabelog.com/tw/tokyo/A1303/A130302/13274859/,"惠比壽車站 / 蛋糕, 巧克力",-,"JPY 2,000 - JPY 2,999","星期二, 星期三"
15,3.84,パティスリー SATSUKI,https://tabelog.com/tw/tokyo/A1308/A130803/13000178/,"赤坂見附車站 / 蛋糕, 麵包",- JPY 999,- JPY 999,-
16,3.84,フランス菓子 パティシエ ショコラティエ イナムラショウゾウ,https://tabelog.com/tw/tokyo/A1311/A131105/13047298/,"日暮里車站 / 蛋糕, 巧克力","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期一, 星期二"
17,3.84,パティスリー ユウ ササゲ,https://tabelog.com/tw/tokyo/A1318/A131809/13155662/,"千歲烏山車站 / 蛋糕, 麵包",-,- JPY 999,"星期二, 星期三"
18,3.84,ミニマル 富ヶ谷本店,https://tabelog.com/tw/tokyo/A1303/A130301/13175834/,"代代木八幡車站 / 巧克力, 蛋糕, 咖啡店","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
19,3.84,パティスリートレカルム,https://tabelog.com/tw/tokyo/A1323/A132301/13175122/,"千石車站 / 蛋糕, 馬卡龍, 麵包",- JPY 999,-,星期一
20,3.83,ショコラティエ パレ ド オール 東京,https://tabelog.com/tw/tokyo/A1302/A130201/13038473/,"二重橋前車站 / 巧克力, 咖啡店, 蛋糕","JPY 2,000 - JPY 2,999","JPY 2,000 - JPY 2,999",-
21,3.83,アトリエコータ 神楽坂店,https://tabelog.com/tw/tokyo/A1309/A130905/13136823/,"神樂坂車站 / 蛋糕, 咖啡店",-,"JPY 2,000 - JPY 2,999",-
22,3.83,PATISSERIE ASAKO IWAYANAGI,https://tabelog.com/tw/tokyo/A1317/A131715/13189509/,"等等力車站 / 蛋糕, 咖啡店","JPY 1,000 - JPY 1,999",-,"星期一, 星期二"
23,3.83,ザ・ペニンシュラ ブティック＆カフェ,https://tabelog.com/tw/tokyo/A1301/A130102/13043019/,"日比谷車站 / 蛋糕, 咖啡店, 麵包",-,"JPY 1,000 - JPY 1,999",-
24,3.82,シュークリー,https://tabelog.com/tw/tokyo/A1302/A130204/13050996/,"人形町車站 / 蛋糕, 甜食",- JPY 999,- JPY 999,星期日
25,3.82,マテリエル,https://tabelog.com/tw/tokyo/A1322/A132203/13110008/,"大山車站 / 蛋糕, 咖啡店","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期三, 星期四"
26,3.82,スタイルズケイクス＆カンパニー,https://tabelog.com/tw/tokyo/A1310/A131003/13125138/,神保町車站 / 蛋糕,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期三, 星期六, 星期日, 節假日"
